entite_privee,label,type,uri_wikidata,wd_label,score_confiance,statut
:SimoneBiles,SimoneBiles,Athlete,http://www.wikidata.org/entity/Q202090,wd:Q202090,0.99,alignée
:SophiaGorham,Sophia Gorham,Athlete,http://www.wikidata.org/entity/Q1551987,,0.85,alignée (CSV)
:StevenDubois,Steven Dubois,Athlete,http://www.wikidata.org/entity/Q58378864,,0.85,alignée (CSV)
:StijnDesmet,Stijn Desmet,Athlete,http://www.wikidata.org/entity/Q58382493,,0.85,alignée (CSV)
:SáraBácskai,Sára Bácskai,Athlete,http://www.wikidata.org/entity/Q46964887,,0.85,alignée (CSV)
:TarquiniuPriscu,Tarquiniu Priscu,Athlete,http://www.wikidata.org/entity/Q132458393,,0.85,alignée (CSV)
:TejiNizampur,Teji Nizampur,Athlete,http://www.wikidata.org/entity/Q120769169,,0.85,alignée (CSV)
:ThomasNadalini,Thomas Nadalini,Athlete,http://www.wikidata.org/entity/Q81905665,,0.85,alignée (CSV)
:TigerWoods,Tiger Woods,Athlete,http://www.wikidata.org/entity/Q107348,,0.85,alignée (CSV)
:TinekeDenDulk,Tineke den Dulk,Athlete,http://www.wikidata.org/entity/Q57549148,,0.85,alignée (CSV)
:TourDeFrance,Tour de France,Competition,http://www.wikidata.org/entity/Q43255,,0.85,alignée (CSV)
:TriciaSargent,Tricia Sargent,Athlete,http://www.wikidata.org/entity/Q122893827,,0.85,alignée (CSV)
:UEFAChampionsLeague,UEFA Champions League,Competition,http://www.wikidata.org/entity/Q212974,,0.85,alignée (CSV)
:USOpenTennis,US Open Tennis,Competition,http://www.wikidata.org/entity/Q48800,,0.85,alignée (CSV)
:UsainBolt,UsainBolt,Athlete,http://www.wikidata.org/entity/Q1190522,wd:Q1190522,0.99,alignée
:ValentinaVezzali,Valentina Vezzali,Athlete,http://www.wikidata.org/entity/Q313746,,0.85,alignée (CSV)
:VictoriaVaynberg,Victoria Vaynberg,Athlete,http://www.wikidata.org/entity/Q122893803,,0.85,alignée (CSV)
:WardPétré,Ward Pétré,Athlete,http://www.wikidata.org/entity/Q47508219,,0.85,alignée (CSV)
:WarreVanDamme,Warre Van Damme,Athlete,http://www.wikidata.org/entity/Q81907826,,0.85,alignée (CSV)
:Wei-MingLeong,Wei-Ming Leong,Athlete,http://www.wikidata.org/entity/Q122893806,,0.85,alignée (CSV)
:WendyGoelz,Wendy Goelz,Athlete,http://www.wikidata.org/entity/Q137478294,,0.85,alignée (CSV)
:WilliamDandjinou,William Dandjinou,Athlete,http://www.wikidata.org/entity/Q57540790,,0.85,alignée (CSV)
:WimbledonChampionships,Wimbledon Championships,Competition,http://www.wikidata.org/entity/Q52,,0.85,alignée (CSV)
:XuPeng,Xu Peng,Athlete,http://www.wikidata.org/entity/Q27989794,,0.85,alignée (CSV)
:YelizavetaKuznetsova,Yelizaveta Kuznetsova,Athlete,http://www.wikidata.org/entity/Q133839868,,0.85,alignée (CSV)
:YerkebulanShamukhanov,Yerkebulan Shamukhanov,Athlete,http://www.wikidata.org/entity/Q48666944,,0.85,alignée (CSV)
:ZangYize,Zang Yize,Athlete,http://www.wikidata.org/entity/Q28042119,,0.85,alignée (CSV)
:ZeljkaJuricek,Zeljka Juricek,Athlete,http://www.wikidata.org/entity/Q122893807,,0.85,alignée (CSV)
:AustralianOpen2004,AustralianOpen2004,Competition,—,—,—,nouvelle entité
:AustralianOpen2008,AustralianOpen2008,Competition,—,—,—,nouvelle entité
:AustralianOpen2009,AustralianOpen2009,Competition,—,—,—,nouvelle entité
:AustralianOpen2015,AustralianOpen2015,Competition,—,—,—,nouvelle entité
:AustralianOpen2019,AustralianOpen2019,Competition,—,—,—,nouvelle entité
:BerlinMarathon2018,BerlinMarathon2018,Competition,—,—,—,nouvelle entité
:RolandGarros2005,RolandGarros2005,Competition,—,—,—,nouvelle entité
:RolandGarros2010,RolandGarros2010,Competition,—,—,—,nouvelle entité
:RolandGarros2016,RolandGarros2016,Competition,—,—,—,nouvelle entité
:RolandGarros2022,RolandGarros2022,Competition,—,—,—,nouvelle entité
:USOpen2004,USOpen2004,Competition,—,—,—,nouvelle entité
:USOpen2010,USOpen2010,Competition,—,—,—,nouvelle entité
:USOpen2012,USOpen2012,Competition,—,—,—,nouvelle entité
:USOpen2014,USOpen2014,Competition,—,—,—,nouvelle entité
:USOpen2015,USOpen2015,Competition,—,—,—,nouvelle entité
:Wimbledon2003,Wimbledon2003,Competition,—,—,—,nouvelle entité
:Wimbledon2004,Wimbledon2004,Competition,—,—,—,nouvelle entité
:Wimbledon2014,Wimbledon2014,Competition,—,—,—,nouvelle entité
:Wimbledon2015,Wimbledon2015,Competition,—,—,—,nouvelle entité
:Wimbledon2016,Wimbledon2016,Competition,—,—,—,nouvelle entité
:WorldAthleticsChampionships2013,WorldAthleticsChampionships2013,Competition,—,—,—,nouvelle entité
:FIFAWorldCup2006,FIFAWorldCup2006,Competition,—,—,—,nouvelle entité
:FIFAWorldCup2010,FIFAWorldCup2010,Competition,—,—,—,nouvelle entité
